"ID","split"
1,"train"
2,"train"
3,"train"
4,"train"
5,"train"
6,"validation"
7,"validation"
8,"train"
9,"train"
10,"train"
11,"train"
12,"train"
13,"train"
14,"train"
15,"test"
16,"validation"
17,"train"
18,"train"
19,"test"
20,"test"
21,"test"
22,"train"
23,"train"
24,"train"
25,"train"
26,"train"
27,"train"
28,"test"
29,"train"
30,"validation"
31,"train"
32,"validation"
33,"train"
34,"train"
35,"validation"
36,"train"
37,"train"
38,"test"
39,"validation"
40,"train"
41,"train"
42,"test"
43,"train"
44,"train"
45,"train"
46,"validation"
47,"test"
48,"train"
49,"train"
50,"validation"
51,"train"
52,"test"
53,"train"
54,"train"
55,"validation"
56,"train"
57,"train"
58,"train"
59,"train"
60,"train"
61,"train"
62,"test"
63,"train"
64,"train"
65,"test"
66,"train"
67,"test"
68,"train"
69,"train"
70,"test"
71,"test"
72,"train"
73,"test"
74,"validation"
75,"train"
76,"validation"
77,"train"
78,"test"
79,"validation"
80,"train"
81,"train"
82,"test"
83,"train"
84,"train"
85,"train"
86,"train"
87,"train"
88,"test"
89,"train"
90,"validation"
91,"train"
92,"train"
93,"train"
94,"train"
95,"train"
96,"train"
97,"train"
98,"validation"
99,"test"
100,"test"
101,"train"
102,"train"
103,"train"
104,"test"
105,"validation"
106,"validation"
107,"train"
108,"test"
109,"train"
110,"train"
111,"train"
112,"validation"
113,"validation"
114,"train"
115,"validation"
116,"train"
117,"train"
118,"train"
119,"test"
120,"validation"
121,"train"
122,"train"
123,"train"
124,"validation"
125,"train"
126,"test"
127,"train"
128,"train"
129,"train"
130,"validation"
131,"train"
132,"train"
133,"train"
134,"validation"
135,"train"
136,"train"
137,"train"
138,"train"
139,"train"
140,"train"
141,"train"
142,"train"
143,"train"
144,"train"
145,"validation"
146,"train"
147,"train"
148,"train"
149,"test"
150,"test"
151,"train"
152,"validation"
153,"train"
154,"train"
155,"train"
156,"validation"
157,"test"
158,"train"
159,"train"
160,"train"
161,"train"
162,"train"
163,"train"
164,"validation"
165,"train"
166,"train"
167,"train"
168,"train"
169,"train"
170,"train"
171,"train"
172,"train"
173,"test"
174,"train"
175,"train"
176,"train"
177,"train"
178,"train"
