encoded_feature,source_feature,impurity_importance
repayment_status__PAY_0_2,PAY_0,0.139505059268
repayment_status__PAY_2_2,PAY_2,0.0766563410838
repayment_status__PAY_3_2,PAY_3,0.0502531369572
monetary__PAY_AMT1,PAY_AMT1,0.0464855647072
monetary__LIMIT_BAL,LIMIT_BAL,0.0463733100576
repayment_status__PAY_4_2,PAY_4,0.0449299856162
repayment_status__PAY_0_0,PAY_0,0.0447787755891
monetary__BILL_AMT1,BILL_AMT1,0.0406993134334
monetary__BILL_AMT2,BILL_AMT2,0.0373071711896
monetary__PAY_AMT2,PAY_AMT2,0.0351146485775
monetary__PAY_AMT3,PAY_AMT3,0.0347707669586
monetary__BILL_AMT3,BILL_AMT3,0.0341240550239
monetary__BILL_AMT4,BILL_AMT4,0.0335286517228
repayment_status__PAY_5_2,PAY_5,0.0329311242325
monetary__BILL_AMT6,BILL_AMT6,0.0309998626513
monetary__BILL_AMT5,BILL_AMT5,0.0302493607336
monetary__PAY_AMT6,PAY_AMT6,0.0302060400657
monetary__PAY_AMT4,PAY_AMT4,0.0286640688605
monetary__PAY_AMT5,PAY_AMT5,0.0281158633382
repayment_status__PAY_6_2,PAY_6,0.0263250671832
repayment_status__PAY_2_0,PAY_2,0.0137398366441
repayment_status__PAY_0_1,PAY_0,0.0131625045543
repayment_status__PAY_0_-1,PAY_0,0.0110799870871
repayment_status__PAY_0_3,PAY_0,0.0107339057997
repayment_status__PAY_2_-1,PAY_2,0.00864366256616
repayment_status__PAY_3_0,PAY_3,0.00797943767222
repayment_status__PAY_4_0,PAY_4,0.00761650432651
repayment_status__PAY_5_0,PAY_5,0.0054338307382
repayment_status__PAY_6_0,PAY_6,0.00524339473806
repayment_status__PAY_2_3,PAY_2,0.00505079942135
repayment_status__PAY_3_-1,PAY_3,0.00459638112078
repayment_status__PAY_4_-1,PAY_4,0.00453265512006
repayment_status__PAY_5_-1,PAY_5,0.00397773121815
repayment_status__PAY_6_-1,PAY_6,0.0038740671075
repayment_status__PAY_0_-2,PAY_0,0.00371092604568
repayment_status__PAY_2_-2,PAY_2,0.00328042270285
repayment_status__PAY_3_-2,PAY_3,0.00300322247297
repayment_status__PAY_4_-2,PAY_4,0.00233739243394
repayment_status__PAY_5_-2,PAY_5,0.00203339645349
repayment_status__PAY_3_3,PAY_3,0.00150177610423
repayment_status__PAY_6_-2,PAY_6,0.0013083343068
repayment_status__PAY_6_3,PAY_6,0.00103737723309
repayment_status__PAY_4_7,PAY_4,0.000872607015963
repayment_status__PAY_5_7,PAY_5,0.000789057574624
repayment_status__PAY_5_3,PAY_5,0.000634421344693
repayment_status__PAY_6_7,PAY_6,0.000550349416119
repayment_status__PAY_4_3,PAY_4,0.000427795436118
repayment_status__PAY_0_4,PAY_0,0.000273091264383
repayment_status__PAY_2_4,PAY_2,0.000145508907594
repayment_status__PAY_4_4,PAY_4,0.000136222167755
repayment_status__PAY_5_4,PAY_5,0.000102427053622
repayment_status__PAY_3_7,PAY_3,5.15295888181e-05
repayment_status__PAY_4_5,PAY_4,3.34119820631e-05
repayment_status__PAY_3_4,PAY_3,3.17593908358e-05
repayment_status__PAY_6_4,PAY_6,2.05841787836e-05
repayment_status__PAY_0_5,PAY_0,1.63770680071e-05
repayment_status__PAY_3_6,PAY_3,1.60410554084e-05
repayment_status__PAY_0_8,PAY_0,1.79796122612e-06
repayment_status__PAY_3_5,PAY_3,1.30547719271e-06
repayment_status__PAY_0_6,PAY_0,0
repayment_status__PAY_0_7,PAY_0,0
repayment_status__PAY_2_1,PAY_2,0
repayment_status__PAY_2_5,PAY_2,0
repayment_status__PAY_2_6,PAY_2,0
repayment_status__PAY_2_7,PAY_2,0
repayment_status__PAY_3_1,PAY_3,0
repayment_status__PAY_3_8,PAY_3,0
repayment_status__PAY_4_1,PAY_4,0
repayment_status__PAY_4_6,PAY_4,0
repayment_status__PAY_4_8,PAY_4,0
repayment_status__PAY_5_5,PAY_5,0
repayment_status__PAY_5_6,PAY_5,0
repayment_status__PAY_5_8,PAY_5,0
repayment_status__PAY_6_5,PAY_6,0
repayment_status__PAY_6_6,PAY_6,0
repayment_status__PAY_6_8,PAY_6,0
