rank_test_average_precision,mean_test_average_precision,std_test_average_precision,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,param_classifier__class_weight,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators
1,0.5608639771464183,0.017695312486550943,0.7845227635657219,0.013272091453864363,5.4129244685173035,0.3829349537048645,,20,sqrt,10,2,300
2,0.5574451562127773,0.01923508764716098,0.7836290476075394,0.01531514210687115,25.401972889900208,2.038554423383814,balanced_subsample,10,0.5,10,2,500
3,0.5574234019570203,0.017947200963061523,0.7847837277563204,0.013594032572971027,7.899078547954559,0.686573086614686,balanced_subsample,,sqrt,10,10,300
4,0.5543638596799841,0.014583550413414782,0.7824622384625046,0.012943939792893558,10.661956429481506,0.8156925934633991,balanced_subsample,,sqrt,5,10,300
5,0.5527592845949371,0.01677194689985596,0.7814990639424619,0.013050321311656335,9.020988762378693,0.9919929392263984,balanced_subsample,10,sqrt,1,2,500
6,0.5495694096681587,0.018337983403058315,0.7772804903030294,0.014662196471837172,45.62693226337433,3.0652023993668083,,20,0.5,5,2,500
7,0.5494166359932766,0.01552910170134437,0.7771844428356156,0.012933490812913385,20.582835793495178,3.360624084484665,,20,sqrt,1,10,500
8,0.5488919562988037,0.019003298054817794,0.7769671618444958,0.015328263884292308,21.618704974651337,3.029064832968168,,20,0.5,5,10,300
9,0.548371330002371,0.017856108258228743,0.7760823702573565,0.01434800859865141,45.7122717499733,11.321671495307216,,,0.5,5,10,500
10,0.5480504841878141,0.01883405638805327,0.7756323924029227,0.014538339654603735,31.92979794740677,5.9509633377069555,,,0.5,5,10,300
11,0.5276306177907018,0.011446310734850824,0.762164138435903,0.010116508259828093,28.941650986671448,1.5324398548871392,,,0.5,1,2,300
12,0.5262668678071244,0.013028751379512243,0.7681739168289317,0.013729699411660924,25.633544504642487,1.6690520181299668,balanced_subsample,20,0.5,1,2,300
