encoded_feature,source_feature,gain,normalised_gain
repayment_status__PAY_2_2,PAY_2,611.486999512,0.296596974443
repayment_status__PAY_0_2,PAY_0,350.119384766,0.169822662294
repayment_status__PAY_3_2,PAY_3,205.926834106,0.0998831962109
repayment_status__PAY_5_2,PAY_5,142.072067261,0.0689109422376
repayment_status__PAY_4_2,PAY_4,125.886459351,0.0610602400322
repayment_status__PAY_6_2,PAY_6,59.920124054,0.0290637863386
repayment_status__PAY_0_0,PAY_0,40.1470756531,0.0194730242523
monetary__PAY_AMT1,PAY_AMT1,38.41771698,0.0186342123878
monetary__PAY_AMT3,PAY_AMT3,25.8236579895,0.0125255628245
monetary__PAY_AMT2,PAY_AMT2,25.5145683289,0.0123756413082
repayment_status__PAY_0_1,PAY_0,24.9038734436,0.0120794285425
monetary__LIMIT_BAL,LIMIT_BAL,23.9100036621,0.011597359798
repayment_status__PAY_0_3,PAY_0,23.4826374054,0.0113900691461
repayment_status__PAY_3_-2,PAY_3,21.5161190033,0.0104362248146
repayment_status__PAY_2_3,PAY_2,20.5404777527,0.00996299767604
repayment_status__PAY_0_-2,PAY_0,17.8284282684,0.00864753933888
monetary__PAY_AMT4,PAY_AMT4,16.6622905731,0.00808191339346
monetary__BILL_AMT1,BILL_AMT1,15.6150255203,0.00757394569121
repayment_status__PAY_0_-1,PAY_0,15.3873071671,0.00746349268949
monetary__BILL_AMT2,BILL_AMT2,13.925204277,0.00675431114704
repayment_status__PAY_6_-2,PAY_6,13.6783065796,0.00663455535482
monetary__PAY_AMT6,PAY_AMT6,13.1480922699,0.00637737906131
monetary__PAY_AMT5,PAY_AMT5,13.0044679642,0.00630771521798
monetary__BILL_AMT3,BILL_AMT3,12.9204282761,0.00626695242622
repayment_status__PAY_4_-2,PAY_4,12.8688459396,0.00624193281839
monetary__BILL_AMT4,BILL_AMT4,11.4117259979,0.00553516821594
repayment_status__PAY_2_-1,PAY_2,11.2810249329,0.00547177268916
repayment_status__PAY_4_0,PAY_4,10.7869062424,0.00523210429272
repayment_status__PAY_6_3,PAY_6,10.5518636703,0.00511809873613
repayment_status__PAY_5_0,PAY_5,10.5050067902,0.0050953711738
repayment_status__PAY_6_0,PAY_6,10.1343097687,0.00491556749017
monetary__BILL_AMT6,BILL_AMT6,9.93607616425,0.00481941583469
monetary__BILL_AMT5,BILL_AMT5,9.9190158844,0.00481114087972
repayment_status__PAY_2_0,PAY_2,9.7998456955,0.004753338314
repayment_status__PAY_3_-1,PAY_3,9.58668231964,0.00464994508996
repayment_status__PAY_4_-1,PAY_4,9.47036838531,0.00459352792813
repayment_status__PAY_6_-1,PAY_6,9.20207595825,0.00446339479007
repayment_status__PAY_3_0,PAY_3,8.52342987061,0.00413422282652
repayment_status__PAY_5_-1,PAY_5,8.15840435028,0.00395717006005
repayment_status__PAY_5_-2,PAY_5,7.96405649185,0.0038629031552
repayment_status__PAY_5_3,PAY_5,5.35840511322,0.00259905238491
repayment_status__PAY_2_-2,PAY_2,5.14139127731,0.00249379152541
repayment_status__PAY_3_3,PAY_3,4.76598882675,0.00231170551029
repayment_status__PAY_4_4,PAY_4,4.64473724365,0.00225289338065
repayment_status__PAY_2_4,PAY_2,4.12535858154,0.00200097283304
repayment_status__PAY_0_4,PAY_0,3.07934761047,0.00149361341329
repayment_status__PAY_6_4,PAY_6,1.55976045132,0.000756549576828
repayment_status__PAY_4_3,PAY_4,1.06427955627,0.000516220453754
repayment_status__PAY_0_5,PAY_0,0,0
repayment_status__PAY_0_6,PAY_0,0,0
repayment_status__PAY_0_7,PAY_0,0,0
repayment_status__PAY_0_8,PAY_0,0,0
repayment_status__PAY_2_1,PAY_2,0,0
repayment_status__PAY_2_5,PAY_2,0,0
repayment_status__PAY_2_6,PAY_2,0,0
repayment_status__PAY_2_7,PAY_2,0,0
repayment_status__PAY_3_1,PAY_3,0,0
repayment_status__PAY_3_4,PAY_3,0,0
repayment_status__PAY_3_5,PAY_3,0,0
repayment_status__PAY_3_6,PAY_3,0,0
repayment_status__PAY_3_7,PAY_3,0,0
repayment_status__PAY_3_8,PAY_3,0,0
repayment_status__PAY_4_1,PAY_4,0,0
repayment_status__PAY_4_5,PAY_4,0,0
repayment_status__PAY_4_6,PAY_4,0,0
repayment_status__PAY_4_7,PAY_4,0,0
repayment_status__PAY_4_8,PAY_4,0,0
repayment_status__PAY_5_4,PAY_5,0,0
repayment_status__PAY_5_5,PAY_5,0,0
repayment_status__PAY_5_6,PAY_5,0,0
repayment_status__PAY_5_7,PAY_5,0,0
repayment_status__PAY_5_8,PAY_5,0,0
repayment_status__PAY_6_5,PAY_6,0,0
repayment_status__PAY_6_6,PAY_6,0,0
repayment_status__PAY_6_7,PAY_6,0,0
repayment_status__PAY_6_8,PAY_6,0,0
