rank_test_average_precision,mean_test_average_precision,std_test_average_precision,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample
1,0.5626991981018851,0.02206446250862568,0.786319041888804,0.014508033697559198,3.1252740025520325,0.05900036442351435,0.85,0.0,0.03,3,1,600,10.0,3.5,0.85
2,0.5621012852855618,0.02094637421777853,0.7862081571058357,0.014948865562224535,3.2963079810142517,0.22607407055132167,1.0,1.0,0.03,5,10,400,10.0,1.0,0.7
3,0.5589176352670356,0.020143739150508003,0.7861929566762832,0.014751247645719077,2.2974151372909546,0.1316000051953564,0.85,0.5,0.03,7,10,200,1.0,1.0,0.85
4,0.5586588715379157,0.021060407793480916,0.7840972413007777,0.013981941535930789,4.585957467556,0.29347733594896225,0.7,0.0,0.03,7,10,400,10.0,3.5,0.85
5,0.5552689031367743,0.020026731649461376,0.7825015708347889,0.014285027843276784,3.303600013256073,0.2812778244625815,0.85,0.0,0.05,7,1,200,5.0,1.0,0.85
6,0.55463486644873,0.018860093820060146,0.7821225550843726,0.013392068693781374,1.6116331219673157,0.04063944143386199,0.85,0.0,0.1,5,5,200,10.0,3.5,0.85
7,0.5522093912816072,0.01933694329887374,0.7785356508081834,0.012830383422601517,4.11134272813797,0.3070197366735198,0.85,0.0,0.1,3,1,600,5.0,1.0,1.0
8,0.5510052501661225,0.023158732259048364,0.7827058654527768,0.013833649967722673,2.0965999364852905,0.18325932675088105,1.0,0.5,0.1,7,10,400,5.0,1.0,1.0
9,0.5506014926402671,0.020769810882500517,0.7787488890646146,0.013144999425135183,3.391091048717499,0.22589738083615135,1.0,0.5,0.1,3,5,600,10.0,3.5,0.85
10,0.5446749707705547,0.018389694548435073,0.775224333693545,0.01179036690299958,36.23285365104675,20.057141210957376,0.7,0.0,0.05,7,1,600,10.0,1.0,1.0
11,0.5414447818434699,0.017219978188889377,0.775189392013857,0.0107986958910512,2.446370303630829,0.11193684271020468,0.85,0.0,0.1,7,5,200,5.0,3.5,0.85
12,0.530073741135425,0.019827214001670833,0.7689030405132118,0.012335644553576162,88.7427390217781,26.062247673482744,0.85,0.5,0.1,7,10,400,10.0,3.5,0.85
