source_feature,aggregated_gain,normalised_gain
PAY_2,662.375097752,0.321279847481
PAY_0,474.948054314,0.230369829677
PAY_3,250.319054127,0.121415294452
PAY_5,174.057940006,0.0844254390116
PAY_4,164.721596718,0.0798969189058
PAY_6,105.046440482,0.0509519522866
PAY_AMT1,38.41771698,0.0186342123878
PAY_AMT3,25.8236579895,0.0125255628245
PAY_AMT2,25.5145683289,0.0123756413082
LIMIT_BAL,23.9100036621,0.011597359798
PAY_AMT4,16.6622905731,0.00808191339346
BILL_AMT1,15.6150255203,0.00757394569121
BILL_AMT2,13.925204277,0.00675431114704
PAY_AMT6,13.1480922699,0.00637737906131
PAY_AMT5,13.0044679642,0.00630771521798
BILL_AMT3,12.9204282761,0.00626695242622
BILL_AMT4,11.4117259979,0.00553516821594
BILL_AMT6,9.93607616425,0.00481941583469
BILL_AMT5,9.9190158844,0.00481114087972
