error_group,source_feature,rows,mean,median,most_frequent_value,validation_mean,validation_median
false_positive,LIMIT_BAL,1332,129774.77477477478,90000.0,50000.0,167411.66666666666,140000.0
false_positive,PAY_0,1332,0.27177177177177175,0.0,1.0,-0.013666666666666667,0.0
false_positive,PAY_2,1332,0.05555555555555555,0.0,0.0,-0.143,0.0
false_positive,PAY_3,1332,0.023273273273273273,0.0,0.0,-0.16316666666666665,0.0
false_positive,PAY_4,1332,-0.044294294294294295,0.0,0.0,-0.2075,0.0
false_positive,PAY_5,1332,-0.1966966966966967,0.0,0.0,-0.25466666666666665,0.0
false_positive,PAY_6,1332,-0.25900900900900903,0.0,0.0,-0.277,0.0
false_positive,BILL_AMT1,1332,32503.855105105104,9159.0,0.0,52274.11283333333,23625.5
false_positive,BILL_AMT2,1332,32316.114864864863,8305.0,0.0,50735.48,22636.0
false_positive,BILL_AMT3,1332,31866.906156156158,8524.0,0.0,48627.94066666667,21118.0
false_positive,BILL_AMT4,1332,30113.08033033033,8095.0,0.0,44570.83866666667,19343.0
false_positive,BILL_AMT5,1332,28650.411411411413,8064.5,0.0,41291.962,18358.0
false_positive,BILL_AMT6,1332,27615.93018018018,6803.5,0.0,40147.85683333333,17575.5
false_positive,PAY_AMT1,1332,2375.192192192192,1000.0,0.0,5826.547166666666,2200.0
false_positive,PAY_AMT2,1332,2902.1276276276276,1000.0,0.0,6284.2418333333335,2012.5
false_positive,PAY_AMT3,1332,2094.5127627627626,390.0,0.0,5073.113166666667,1806.5
false_positive,PAY_AMT4,1332,2234.4984984984985,431.0,0.0,4621.722333333333,1500.0
false_positive,PAY_AMT5,1332,2230.735735735736,500.0,0.0,5208.636333333333,1500.0
false_positive,PAY_AMT6,1332,2354.1824324324325,437.5,0.0,5292.714333333333,1474.5
false_negative,LIMIT_BAL,398,166381.9095477387,140000.0,50000.0,167411.66666666666,140000.0
false_negative,PAY_0,398,-0.3969849246231156,0.0,0.0,-0.013666666666666667,0.0
false_negative,PAY_2,398,-0.4648241206030151,0.0,0.0,-0.143,0.0
false_negative,PAY_3,398,-0.44974874371859297,0.0,0.0,-0.16316666666666665,0.0
false_negative,PAY_4,398,-0.4321608040201005,0.0,0.0,-0.2075,0.0
false_negative,PAY_5,398,-0.41959798994974873,0.0,0.0,-0.25466666666666665,0.0
false_negative,PAY_6,398,-0.42462311557788945,0.0,0.0,-0.277,0.0
false_negative,BILL_AMT1,398,64203.746231155776,30085.5,0.0,52274.11283333333,23625.5
false_negative,BILL_AMT2,398,59486.28391959799,27392.0,0.0,50735.48,22636.0
false_negative,BILL_AMT3,398,56314.781407035174,27971.5,0.0,48627.94066666667,21118.0
false_negative,BILL_AMT4,398,49637.47487437186,19114.0,0.0,44570.83866666667,19343.0
false_negative,BILL_AMT5,398,46321.218592964826,18860.0,0.0,41291.962,18358.0
false_negative,BILL_AMT6,398,46512.58542713568,18307.0,0.0,40147.85683333333,17575.5
false_negative,PAY_AMT1,398,5151.959798994975,2440.5,0.0,5826.547166666666,2200.0
false_negative,PAY_AMT2,398,6259.846733668342,2257.0,0.0,6284.2418333333335,2012.5
false_negative,PAY_AMT3,398,5234.469849246231,2001.5,0.0,5073.113166666667,1806.5
false_negative,PAY_AMT4,398,6128.70351758794,2000.0,0.0,4621.722333333333,1500.0
false_negative,PAY_AMT5,398,7543.962311557789,2000.0,0.0,5208.636333333333,1500.0
false_negative,PAY_AMT6,398,6663.967336683417,1934.5,0.0,5292.714333333333,1474.5
