encoded_feature,source_feature,mean_absolute_shap,mean_signed_shap
repayment_status__PAY_0_2,PAY_0,0.03474767451437763,-0.0003062354926659888
repayment_status__PAY_0_0,PAY_0,0.027915550840320554,0.0003891694490844552
repayment_status__PAY_2_2,PAY_2,0.0227118700983624,-0.0016410735548859094
monetary__LIMIT_BAL,LIMIT_BAL,0.018340975412649424,-0.0005764844012102613
repayment_status__PAY_3_2,PAY_3,0.015334958677003172,1.0150887801702889e-05
monetary__PAY_AMT1,PAY_AMT1,0.013474873213039163,-0.0017901104741376564
repayment_status__PAY_4_2,PAY_4,0.013299726044062574,-0.0004645568608633185
repayment_status__PAY_5_2,PAY_5,0.009589936436979172,-0.0013043426532158764
monetary__PAY_AMT2,PAY_AMT2,0.009024366201306096,-0.0003950490616610475
monetary__PAY_AMT3,PAY_AMT3,0.008999826583718501,0.000133676453758696
repayment_status__PAY_6_2,PAY_6,0.008659540436648808,-0.00016064891847309253
monetary__PAY_AMT4,PAY_AMT4,0.006750597773635857,-0.00016499666526760843
monetary__PAY_AMT6,PAY_AMT6,0.006665487548225881,-1.1468669640856342e-06
monetary__PAY_AMT5,PAY_AMT5,0.0062317908786035225,4.911085862333787e-05
repayment_status__PAY_2_0,PAY_2,0.005830148208594153,-0.0010623104736776534
monetary__BILL_AMT1,BILL_AMT1,0.0055033807882963115,0.0012153543508108958
monetary__BILL_AMT2,BILL_AMT2,0.004219191670017946,0.002169116754350394
repayment_status__PAY_0_-1,PAY_0,0.003912767324388746,0.0005814327319341064
monetary__BILL_AMT3,BILL_AMT3,0.003877731235126964,0.0010646080652814219
repayment_status__PAY_2_-1,PAY_2,0.003689883464284598,0.0010555341989094962
monetary__BILL_AMT4,BILL_AMT4,0.003622918162303941,0.001419231041162392
repayment_status__PAY_4_0,PAY_4,0.0030541422003618024,0.00018972828403459991
monetary__BILL_AMT6,BILL_AMT6,0.0029954348327567893,0.0005315937402066576
repayment_status__PAY_6_0,PAY_6,0.00281033925360697,-5.813793694570633e-05
monetary__BILL_AMT5,BILL_AMT5,0.0027351304162387294,-4.222548518103143e-05
repayment_status__PAY_0_1,PAY_0,0.002585450765039381,0.0007457487405343723
repayment_status__PAY_3_-1,PAY_3,0.0024951401534406598,0.00026451500210090734
repayment_status__PAY_5_0,PAY_5,0.0024307978840340163,-0.00020253890533647684
repayment_status__PAY_0_-2,PAY_0,0.0022452858246505953,0.0005362261240758935
repayment_status__PAY_0_3,PAY_0,0.0021490616484296276,-0.0005545586051467649
